sklep_id;dzien_tyg;data;sprzedaz;liczba_klientow;czy_otwarty;czy_promocja;czy_swieto;czy_swieto_szkolne;sklep_typ;sklep_asort;sklep_konkurencja
77;7;2014-11-02;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-11-01;8238;658;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-10-31;7101;612;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;4;2014-10-30;6277;584;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;3;2014-10-29;5636;542;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;2;2014-10-28;5351;495;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;1;2014-10-27;5909;533;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;7;2014-10-26;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-10-25;6604;598;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-10-24;7207;646;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;4;2014-10-23;7900;684;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;3;2014-10-22;6967;583;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;2;2014-10-21;7503;622;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;1;2014-10-20;9555;770;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;7;2014-10-19;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-10-18;7756;664;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-10-17;6684;614;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-10-16;6591;587;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-10-15;4993;501;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-10-14;5404;544;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-10-13;5447;557;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-10-12;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-10-11;8492;753;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-10-10;8622;740;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-10-09;8013;660;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-10-08;8526;665;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-10-07;8668;695;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-10-06;11485;905;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-10-05;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-10-04;8788;768;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-10-03;0;0;Nie;Tak;Narodowe;Nie;d;Rozszerzony;1090
77;4;2014-10-02;8896;768;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-10-01;7831;694;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-09-30;10810;795;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-09-29;11352;834;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-09-28;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-09-27;7015;619;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-09-26;6574;582;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-09-25;5788;560;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-09-24;4348;470;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-09-23;5142;540;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-09-22;6046;615;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-09-21;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-09-20;7447;637;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-09-19;8303;704;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-09-18;7625;732;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-09-17;7238;692;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-09-16;7347;680;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-09-15;11481;917;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-09-14;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-09-13;8087;721;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-09-12;6572;635;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-09-11;6159;640;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-09-10;6535;658;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-09-09;6797;664;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-09-08;7990;823;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-09-07;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-09-06;7471;640;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-09-05;8247;715;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;4;2014-09-04;8222;705;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;3;2014-09-03;8188;673;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;2;2014-09-02;9254;736;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;1;2014-09-01;11160;841;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;7;2014-08-31;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-08-30;7164;598;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-08-29;6676;622;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;4;2014-08-28;5481;549;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;3;2014-08-27;5827;525;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;2;2014-08-26;4386;459;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;1;2014-08-25;5377;550;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;7;2014-08-24;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-08-23;7148;624;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-08-22;7592;614;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;4;2014-08-21;7049;625;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;3;2014-08-20;7853;644;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;2;2014-08-19;8262;635;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;1;2014-08-18;11343;817;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;7;2014-08-17;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-08-16;6503;587;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-08-15;6012;518;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;4;2014-08-14;6146;547;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;3;2014-08-13;4579;425;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;2;2014-08-12;5236;481;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;1;2014-08-11;6296;590;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;7;2014-08-10;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-08-09;6769;586;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-08-08;7734;600;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;4;2014-08-07;8599;650;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;3;2014-08-06;6731;567;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;2;2014-08-05;8666;706;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;1;2014-08-04;10223;707;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;7;2014-08-03;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-08-02;6967;616;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-08-01;8608;702;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;4;2014-07-31;8135;655;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-07-30;9493;758;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;2;2014-07-29;9417;706;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;1;2014-07-28;10759;767;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;7;2014-07-27;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-07-26;7948;646;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-07-25;6575;601;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-07-24;6819;602;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-07-23;5258;520;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-07-22;6338;586;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-07-21;7228;655;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-07-20;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-07-19;7110;632;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-07-18;8358;700;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-07-17;8643;673;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-07-16;8873;689;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-07-15;8767;697;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-07-14;10367;780;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-07-13;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-07-12;7500;663;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-07-11;6362;609;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-07-10;5811;582;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-07-09;5033;487;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-07-08;5927;556;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-07-07;6066;605;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-07-06;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-07-05;7816;684;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-07-04;7942;670;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-07-03;8099;685;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-07-02;7943;684;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-07-01;7525;682;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-06-30;15892;1069;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-06-29;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-06-28;9037;704;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-06-27;7222;639;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-06-26;5396;520;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-06-25;5619;519;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-06-24;5604;506;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-06-23;5471;532;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-06-22;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-06-21;6456;590;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-06-20;11634;926;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-06-19;0;0;Nie;Tak;Narodowe;Nie;d;Rozszerzony;1090
77;3;2014-06-18;10678;889;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-06-17;8566;686;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-06-16;11101;861;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-06-15;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-06-14;7485;643;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-06-13;6538;620;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-06-12;6016;587;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-06-11;5519;559;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-06-10;6787;659;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-06-09;0;0;Nie;Nie;Narodowe;Nie;d;Rozszerzony;1090
77;7;2014-06-08;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-06-07;7326;692;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-06-06;8718;741;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-06-05;8305;701;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-06-04;8373;697;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-06-03;8243;689;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-06-02;10554;836;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-06-01;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-05-31;6775;616;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-05-30;8703;787;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-05-29;0;0;Nie;Nie;Narodowe;Nie;d;Rozszerzony;1090
77;3;2014-05-28;7494;727;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-05-27;5252;502;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-05-26;6183;621;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-05-25;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-05-24;7608;661;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-05-23;8185;698;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-05-22;7474;661;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-05-21;7924;657;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-05-20;8043;624;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-05-19;10675;839;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-05-18;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-05-17;7571;685;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-05-16;6135;618;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-05-15;5874;576;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-05-14;5219;552;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-05-13;5211;544;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-05-12;5841;582;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-05-11;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-05-10;8505;752;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-05-09;9129;807;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-05-08;7793;710;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-05-07;7912;669;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-05-06;9398;741;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-05-05;10088;817;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-05-04;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-05-03;7323;664;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-05-02;11741;946;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-05-01;0;0;Nie;Tak;Narodowe;Nie;d;Rozszerzony;1090
77;3;2014-04-30;9898;844;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-04-29;9466;754;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-04-28;10490;808;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-04-27;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-04-26;7795;639;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-04-25;6116;587;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;4;2014-04-24;5409;523;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;3;2014-04-23;5118;498;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;2;2014-04-22;6049;589;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;1;2014-04-21;0;0;Nie;Nie;Wielkanoc;Tak;d;Rozszerzony;1090
77;7;2014-04-20;0;0;Nie;Nie;Nie;Tak;d;Rozszerzony;1090
77;6;2014-04-19;9698;880;Tak;Nie;Nie;Tak;d;Rozszerzony;1090
77;5;2014-04-18;0;0;Nie;Tak;Wielkanoc;Tak;d;Rozszerzony;1090
77;4;2014-04-17;11493;915;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;3;2014-04-16;10125;792;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;2;2014-04-15;10213;784;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;1;2014-04-14;13027;973;Tak;Tak;Nie;Tak;d;Rozszerzony;1090
77;7;2014-04-13;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-04-12;7351;693;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-04-11;6408;621;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-04-10;6206;597;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-04-09;6449;567;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-04-08;5590;538;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-04-07;6082;598;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-04-06;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-04-05;8247;671;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-04-04;8067;712;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-04-03;8512;708;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-04-02;7716;668;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-04-01;7724;657;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-03-31;14399;1031;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-03-30;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-03-29;8504;678;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-03-28;6988;649;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-03-27;5916;564;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-03-26;5954;549;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-03-25;5308;531;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-03-24;5789;573;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-03-23;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-03-22;7396;674;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-03-21;7761;677;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-03-20;7465;646;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-03-19;7747;644;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-03-18;8400;695;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-03-17;10226;844;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-03-16;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-03-15;7212;686;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-03-14;6359;620;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;4;2014-03-13;5300;553;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;3;2014-03-12;5399;548;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;2;2014-03-11;5544;563;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;1;2014-03-10;6618;605;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;7;2014-03-09;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-03-08;7444;729;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-03-07;8889;780;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;4;2014-03-06;9407;770;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;3;2014-03-05;8379;671;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;2;2014-03-04;8582;730;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;1;2014-03-03;11508;926;Tak;Tak;Nie;Nie;d;Rozszerzony;1090
77;7;2014-03-02;0;0;Nie;Nie;Nie;Nie;d;Rozszerzony;1090
77;6;2014-03-01;8843;776;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
77;5;2014-02-28;6763;657;Tak;Nie;Nie;Nie;d;Rozszerzony;1090
